Team,M_2025,W_2025,D_2025,L_2025,G_2025,GA_2025,PTS_2025,xG_2025,NPxG_2025,xGA_2025,NPxGA_2025,NPxGD_2025,xPTS_2025,M_2024,W_2024,D_2024,L_2024,G_2024,GA_2024,PTS_2024,xG_2024,NPxG_2024,xGA_2024,NPxGA_2024,NPxGD_2024,xPTS_2024,M_2023,W_2023,D_2023,L_2023,G_2023,GA_2023,PTS_2023,xG_2023,NPxG_2023,xGA_2023,NPxGA_2023,NPxGD_2023,xPTS_2023,M_2022,W_2022,D_2022,L_2022,G_2022,GA_2022,PTS_2022,xG_2022,NPxG_2022,xGA_2022,NPxGA_2022,NPxGD_2022,xPTS_2022,M_2021,W_2021,D_2021,L_2021,G_2021,GA_2021,PTS_2021,xG_2021,NPxG_2021,xGA_2021,NPxGA_2021,NPxGD_2021,xPTS_2021
Leicester,,,,,,,,,,,,,,38.0,6.0,7.0,25.0,33.0,80.0,25.0,38.058101,35.774607,85.887374,82.842694,-47.06808699999999,26.430300000000003,,,,,,,,,,,,,,38.0,9.0,7.0,22.0,51.0,68.0,34.0,48.9869985,44.3328275,59.789350999999996,55.983511,-11.6506835,45.0736,38.0,14.0,10.0,14.0,62.0,59.0,52.0,49.4886742,47.9663352,66.106594,59.063358,-11.097022799999998,42.3123
Liverpool,26.0,12.0,6.0,8.0,41.0,35.0,42.0,47.28852,45.76618,34.124297,31.079624,14.686556,44.3467,38.0,25.0,9.0,4.0,86.0,41.0,84.0,93.239341,86.388831,42.320521,40.661526,45.727304999999994,81.8437,38.0,24.0,10.0,4.0,86.0,41.0,82.0,94.785242,87.649932,47.3987545,46.6375945,41.01233750000001,76.8837,38.0,19.0,10.0,9.0,75.0,47.0,67.0,80.771997,77.727328,55.773338,52.728658,24.998669999999997,67.3693,38.0,28.0,8.0,2.0,94.0,26.0,92.0,93.022398,86.83102,32.731055,32.731055,54.099965,86.5634
Luton,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,6.0,8.0,24.0,52.0,85.0,26.0,49.872462,46.066622,91.647698,88.603014,-42.536392,32.327,,,,,,,,,,,,,,,,,,,,,,,,,,
Manchester City,26.0,16.0,5.0,5.0,54.0,24.0,53.0,51.152875,48.108188,31.45747,29.785147,18.323041,49.5202,38.0,21.0,8.0,9.0,72.0,44.0,71.0,73.14843,70.10376,52.903197,49.858519,20.245240999999993,64.6631,38.0,28.0,7.0,3.0,96.0,34.0,91.0,89.548753,81.937063,37.2714265,34.9879205,46.949142499999994,83.0674,38.0,28.0,5.0,5.0,94.0,33.0,89.0,84.321567,76.709891,34.2084149,31.9248977,44.7849933,83.0423,38.0,29.0,6.0,3.0,99.0,26.0,93.0,93.399873,86.324233,25.212244,24.451079,61.87315400000001,91.8845
Manchester United,26.0,12.0,9.0,5.0,47.0,37.0,45.0,49.801686,46.757004,34.043663,32.521323,14.235681,43.9577,38.0,11.0,9.0,18.0,44.0,54.0,42.0,56.91131,53.866651,60.72751,57.633397,-3.766746000000005,52.2395,38.0,18.0,6.0,14.0,57.0,58.0,60.0,60.329903,54.986494,74.760841,69.432658,-14.446164000000003,44.4186,38.0,23.0,6.0,9.0,58.0,43.0,75.0,71.901178,69.617674,50.287639,48.004125,21.613548999999992,66.3995,38.0,16.0,10.0,12.0,57.0,57.0,58.0,57.214908,53.409058,56.85228,53.046457,0.36260100000000506,54.5247
Newcastle United,26.0,10.0,6.0,10.0,37.0,37.0,36.0,43.810998,40.005148,33.313737,30.269061,9.736086999999998,42.9058,38.0,20.0,6.0,12.0,68.0,47.0,66.0,71.482065,66.915061,53.977216,52.454874,14.460186999999998,62.6107,38.0,18.0,6.0,14.0,85.0,62.0,60.0,84.477852,77.627333,62.455156,58.523683,19.103649999999995,65.59,38.0,19.0,14.0,5.0,68.0,33.0,71.0,76.977056,72.410043,41.8562479,38.0504029,34.3596401,71.6661,38.0,13.0,10.0,15.0,44.0,62.0,49.0,41.526526,39.243013,62.711766,57.98894,-18.745927000000002,41.5255
Norwich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,5.0,7.0,26.0,23.0,84.0,22.0,31.5116008,29.2281298,80.075475,70.716337,-41.48820719999999,25.0385
Nottingham Forest,26.0,7.0,6.0,13.0,25.0,38.0,27.0,32.057157,30.534833,43.839907,40.034055,-9.499222000000003,27.873,38.0,19.0,8.0,11.0,58.0,46.0,65.0,52.749253,50.465744,55.917692,53.634183,-3.1684389999999993,50.0071,38.0,9.0,9.0,20.0,49.0,67.0,36.0,52.157332000000004,51.396162,56.251404,53.206796,-1.8106340000000003,50.1741,38.0,9.0,11.0,18.0,38.0,68.0,38.0,39.57446,35.007464,68.459309,61.608797,-26.601333000000004,35.0461,,,,,,,,,,,,,
Sheffield United,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,3.0,7.0,28.0,35.0,104.0,16.0,41.3062564,37.5004414,85.707202,80.379032,-42.878590599999995,28.531399999999998,,,,,,,,,,,,,,,,,,,,,,,,,,
Southampton,,,,,,,,,,,,,,38.0,2.0,6.0,30.0,26.0,86.0,12.0,38.631216,36.922768,98.347608,91.389668,-54.4669,22.6856,,,,,,,,,,,,,,38.0,6.0,7.0,25.0,36.0,73.0,25.0,39.265483,36.13281,62.900044,60.616555,-24.483745,36.4664,38.0,9.0,13.0,16.0,43.0,67.0,40.0,47.348042,44.303364,64.557484,63.035144,-18.73178,43.4481
